activity,raw_activity,activity_group,participation_rate_pct,estimated_participants
Walking,Walking (Recreational),Fitness / lifestyle,50.2,11363621
Fitness/Gym,Fitness/Gym,Fitness / lifestyle,34.1,7719043
Bush walking,Bush walking,Outdoor recreation,17.47,3953952
Running/jogging,Running/jogging,Fitness / lifestyle,16.53,3740484
Swimming,Swimming,Fitness / lifestyle,15.39,3483472
Cycling,Cycling,Outdoor recreation,8.29,1877339
Pilates,Pilates,Fitness / lifestyle,7.18,1625325
Football/soccer,Football/soccer,Traditional sport,5.62,1273027
Yoga,Yoga,Fitness / lifestyle,5.07,1148005
Tennis,Tennis,Traditional sport,4.94,1118407
